merchant_id,product_name,price,photo_url,stock,product_description,category,original_stock
14,Doggo Coat II,9.5,https://ae01.alicdn.com/kf/HTB1Jt4wMpXXXXXoXXXXq6xXFXXXF/Pet-Dog-font-b-Cat-b-font-font-b-Raincoat-b-font-Clothes-Puppy-Glisten-Bar.jpg,96,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Dog Booties,101
7,The Original Cat Hat,3.97,https://s-media-cache-ak0.pinimg.com/originals/a4/3c/cf/a43ccfe4145b1e12480fc0b04e2624c8.jpg,17,"We must be quiet, soft and gentle. You can create the world you want to see and be a part of. You have that power. The only prerequisite is that it makes you happy. If it makes you happy then it's good.",Dog Raincoats,22
7,The Improved Cat Hat,7.06,http://aboutpetlife.com/wp-content/uploads/2017/01/cute-cat-in-raincoat-5.jpg,48,"We have a fantastic little sky! Only eight colors that you need. That is when you can experience true joy, when you have no fear. This is the fun part",Cat Coats,53
15,Petsy Classic,5.59,https://s-media-cache-ak0.pinimg.com/originals/49/58/da/4958da557b07451ef5147ad153e45e0e.jpg,79,I really believe that if you practice enough you could paint the 'Mona Lisa' with a two-inch brush. Let's put some happy trees and bushes back in here. Do an almighty painting with us.,Cat Booties,84
11,Wetsy Classic,7.68,http://68.media.tumblr.com/0cd8961c0d92af2bd49f7c82f0324741/tumblr_oicu75rWiM1taaauno1_500.jpg,43,We'll play with clouds today. Let's have a little bit of fun today. We don't really know where this goes - and I'm not sure we really care. Just make little strokes like that. You don't want to kill all your dark areas they are very important.,Dog Booties,48
14,Petsy Wetsy Classic,3.55,https://s-media-cache-ak0.pinimg.com/600x315/69/1b/a2/691ba240c2f44c3557ea80e08ac98a4f.jpg,17,"Painting should do one thing. It should put happiness in your heart. Let your imagination be your guide. Don't be afraid to make these big decisions. Once you start, they sort of just make themselves. You can create the world you want to see and be a part of. You have that power. We can always carry this a step further. There's really no end to this.",Dog Raincoats,22
20,Doggo Coat I,2.82,https://s-media-cache-ak0.pinimg.com/236x/e0/60/89/e06089b427c2d330a3d86a17f7933395.jpg,39,"But we're not there yet, so we don't need to worry about it. Everybody's different. Trees are different. Let them all be individuals. And I will hypnotize that just a little bit. Each highlight must have it's own private shadow. Let's build some happy little clouds up here.",Cat Coats,44
11,Doggo Coat II,9.85,https://s-media-cache-ak0.pinimg.com/736x/cf/42/5a/cf425a84233aa7a023a147d10aa7c2a9.jpg,80,"Use what you see, don't plan it. We'll have a super time. Use your imagination, let it go.",Cat Booties,85
18,The Original Cat Hat,1.1,https://img.buzzfeed.com/buzzfeed-static/static/enhanced/web03/2012/10/28/18/enhanced-buzz-29556-1351462026-0.jpg,87,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Dog Booties,92
13,The Improved Cat Hat,4,https://s-media-cache-ak0.pinimg.com/736x/74/f5/f6/74f5f624a6e70773a5a1d31cbead5de6.jpg,27,This painting comes right out of your heart. Let's make a happy little mountain now. We don't want to set these clouds on fire.,Dog Raincoats,32
10,Petsy Classic,2.69,http://blog-imgs-46.fc2.com/s/i/s/sisinmaru/20101027-01-1.jpg,51,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Cat Coats,56
19,Wetsy Classic,7.14,http://i.amz.mshcdn.com/uw-IoL3TVA7Ryobcnto8XD-1JNw=/fit-in/850x850/http%3A%2F%2Fmashable.com%2Fwp-content%2Fgallery%2Fdogs-wearing-raincoats%2FEhukai%2520%28ehu_guy%29.png,57,"We must be quiet, soft and gentle. You can create the world you want to see and be a part of. You have that power. The only prerequisite is that it makes you happy. If it makes you happy then it's good.",Cat Booties,62
6,Petsy Wetsy Classic,5.33,https://s-media-cache-ak0.pinimg.com/originals/25/20/91/252091494cb31bd6bbab6e0459c2b72d.jpg,23,"We have a fantastic little sky! Only eight colors that you need. That is when you can experience true joy, when you have no fear. This is the fun part",Dog Booties,28
7,Doggo Coat I,1.92,http://theverybesttop10.com/wp-content/uploads/2015/06/Top-10-Pictures-of-Pigs-in-Boots-3.jpg,2,I really believe that if you practice enough you could paint the 'Mona Lisa' with a two-inch brush. Let's put some happy trees and bushes back in here. Do an almighty painting with us.,Dog Raincoats,7
9,Doggo Coat II,6.04,https://s-media-cache-ak0.pinimg.com/736x/7b/37/e9/7b37e944523c667c92372f65754f48e1.jpg,87,We'll play with clouds today. Let's have a little bit of fun today. We don't really know where this goes - and I'm not sure we really care. Just make little strokes like that. You don't want to kill all your dark areas they are very important.,Cat Coats,92
9,The Original Cat Hat,9.57,http://www.petpiggies.co.uk/wp-content/uploads/tea-cup-pig-petpiggies-wearing-hat.jpg,68,"Painting should do one thing. It should put happiness in your heart. Let your imagination be your guide. Don't be afraid to make these big decisions. Once you start, they sort of just make themselves. You can create the world you want to see and be a part of. You have that power. We can always carry this a step further. There's really no end to this.",Cat Booties,73
1,The Improved Cat Hat,1.33,http://pimm.barkpost.com/wp-content/uploads/2015/02/rainFT.jpg?q=70&fit=crop&crop=entropy&w=808&h=501,38,"But we're not there yet, so we don't need to worry about it. Everybody's different. Trees are different. Let them all be individuals. And I will hypnotize that just a little bit. Each highlight must have it's own private shadow. Let's build some happy little clouds up here.",Dog Booties,43
12,Petsy Classic,9.63,https://s-media-cache-ak0.pinimg.com/originals/a4/3c/cf/a43ccfe4145b1e12480fc0b04e2624c8.jpg,79,"Use what you see, don't plan it. We'll have a super time. Use your imagination, let it go.",Dog Raincoats,84
14,Wetsy Classic,0.42,https://s-media-cache-ak0.pinimg.com/originals/fd/50/bf/fd50bfa720ba9a34c353f7f9ccc0c121.jpg,35,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Cat Coats,40
13,Petsy Wetsy Classic,6.32,http://68.media.tumblr.com/37255427e425722058b5682ade2a8a1f/tumblr_oicubtu9eP1taaauno1_1280.jpg,34,This painting comes right out of your heart. Let's make a happy little mountain now. We don't want to set these clouds on fire.,Cat Booties,39
3,Doggo Coat I,7.53,http://i.imgur.com/fSW7XjX.jpg,45,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Dog Booties,50
3,Doggo Coat II,4.94,https://68.media.tumblr.com/12b4b9d6a4d293fbdf8cfb3edb6b9c2b/tumblr_nl9uekjPV71u66dxwo1_1280.jpg,17,"We must be quiet, soft and gentle. You can create the world you want to see and be a part of. You have that power. The only prerequisite is that it makes you happy. If it makes you happy then it's good.",Dog Raincoats,22
16,The Original Cat Hat,0.17,http://img.allw.mn/content/www/2010/04/8-ways-to-dress-up-your-dog-or-cat/pet-raincoat_ways-dress-up-your-dog-cat.jpg,45,"We have a fantastic little sky! Only eight colors that you need. That is when you can experience true joy, when you have no fear. This is the fun part",Cat Coats,50
4,The Improved Cat Hat,8.98,https://ae01.alicdn.com/kf/HTB1Jt4wMpXXXXXoXXXXq6xXFXXXF/Pet-Dog-font-b-Cat-b-font-font-b-Raincoat-b-font-Clothes-Puppy-Glisten-Bar.jpg,65,I really believe that if you practice enough you could paint the 'Mona Lisa' with a two-inch brush. Let's put some happy trees and bushes back in here. Do an almighty painting with us.,Cat Booties,70
9,Petsy Classic,4.73,https://s-media-cache-ak0.pinimg.com/originals/a4/3c/cf/a43ccfe4145b1e12480fc0b04e2624c8.jpg,80,We'll play with clouds today. Let's have a little bit of fun today. We don't really know where this goes - and I'm not sure we really care. Just make little strokes like that. You don't want to kill all your dark areas they are very important.,Dog Booties,85
7,Wetsy Classic,3.39,http://aboutpetlife.com/wp-content/uploads/2017/01/cute-cat-in-raincoat-5.jpg,89,"Painting should do one thing. It should put happiness in your heart. Let your imagination be your guide. Don't be afraid to make these big decisions. Once you start, they sort of just make themselves. You can create the world you want to see and be a part of. You have that power. We can always carry this a step further. There's really no end to this.",Dog Raincoats,94
18,Petsy Wetsy Classic,5.68,https://s-media-cache-ak0.pinimg.com/originals/49/58/da/4958da557b07451ef5147ad153e45e0e.jpg,77,"But we're not there yet, so we don't need to worry about it. Everybody's different. Trees are different. Let them all be individuals. And I will hypnotize that just a little bit. Each highlight must have it's own private shadow. Let's build some happy little clouds up here.",Cat Coats,82
9,Doggo Coat I,4.78,http://68.media.tumblr.com/0cd8961c0d92af2bd49f7c82f0324741/tumblr_oicu75rWiM1taaauno1_500.jpg,44,"Use what you see, don't plan it. We'll have a super time. Use your imagination, let it go.",Cat Booties,49
6,Doggo Coat II,4.91,https://s-media-cache-ak0.pinimg.com/600x315/69/1b/a2/691ba240c2f44c3557ea80e08ac98a4f.jpg,46,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Dog Booties,51
5,The Original Cat Hat,8.35,https://s-media-cache-ak0.pinimg.com/236x/e0/60/89/e06089b427c2d330a3d86a17f7933395.jpg,18,This painting comes right out of your heart. Let's make a happy little mountain now. We don't want to set these clouds on fire.,Dog Raincoats,23
11,The Improved Cat Hat,0.17,https://s-media-cache-ak0.pinimg.com/736x/cf/42/5a/cf425a84233aa7a023a147d10aa7c2a9.jpg,46,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Cat Coats,51
18,Petsy Classic,6.24,https://img.buzzfeed.com/buzzfeed-static/static/enhanced/web03/2012/10/28/18/enhanced-buzz-29556-1351462026-0.jpg,34,"We must be quiet, soft and gentle. You can create the world you want to see and be a part of. You have that power. The only prerequisite is that it makes you happy. If it makes you happy then it's good.",Cat Booties,39
4,Wetsy Classic,2.1,https://s-media-cache-ak0.pinimg.com/736x/74/f5/f6/74f5f624a6e70773a5a1d31cbead5de6.jpg,15,"We have a fantastic little sky! Only eight colors that you need. That is when you can experience true joy, when you have no fear. This is the fun part",Dog Booties,20
16,Petsy Wetsy Classic,5.33,http://blog-imgs-46.fc2.com/s/i/s/sisinmaru/20101027-01-1.jpg,15,I really believe that if you practice enough you could paint the 'Mona Lisa' with a two-inch brush. Let's put some happy trees and bushes back in here. Do an almighty painting with us.,Dog Raincoats,20
15,Doggo Coat I,6.99,http://i.amz.mshcdn.com/uw-IoL3TVA7Ryobcnto8XD-1JNw=/fit-in/850x850/http%3A%2F%2Fmashable.com%2Fwp-content%2Fgallery%2Fdogs-wearing-raincoats%2FEhukai%2520%28ehu_guy%29.png,82,We'll play with clouds today. Let's have a little bit of fun today. We don't really know where this goes - and I'm not sure we really care. Just make little strokes like that. You don't want to kill all your dark areas they are very important.,Cat Coats,87
16,Doggo Coat II,2.81,https://s-media-cache-ak0.pinimg.com/originals/25/20/91/252091494cb31bd6bbab6e0459c2b72d.jpg,37,"Painting should do one thing. It should put happiness in your heart. Let your imagination be your guide. Don't be afraid to make these big decisions. Once you start, they sort of just make themselves. You can create the world you want to see and be a part of. You have that power. We can always carry this a step further. There's really no end to this.",Cat Booties,42
1,The Original Cat Hat,5.16,http://theverybesttop10.com/wp-content/uploads/2015/06/Top-10-Pictures-of-Pigs-in-Boots-3.jpg,100,"But we're not there yet, so we don't need to worry about it. Everybody's different. Trees are different. Let them all be individuals. And I will hypnotize that just a little bit. Each highlight must have it's own private shadow. Let's build some happy little clouds up here.",Dog Booties,105
12,The Improved Cat Hat,1.07,https://s-media-cache-ak0.pinimg.com/736x/7b/37/e9/7b37e944523c667c92372f65754f48e1.jpg,49,"Use what you see, don't plan it. We'll have a super time. Use your imagination, let it go.",Dog Raincoats,54
